slug,name,date,distance,elevation,city,country,corrected_distance,corrected_name,corrected_date,corrected_elevation,corrected_city,corrected_country
sri-chinmoy-50-km-lauf-amsterdam-2024,"Sri Chinmoy 50 km-Lauf Amsterdam","24/05/2024","50km","","Amstelveen","Netherlands",,,,,,
van-balk-2024,"van Balk","11/05/2024","80km","","BALK","Netherlands",,,,,,
salomon-koning-van-spanje-trail-80km-2024,"Salomon Koning van Spanje Trail - 80km","11/05/2024","81km","","Gulpen","Netherlands",,,,,,
sri-chinmoy-100km-lauf-amsterdam-2024,"Sri Chinmoy 100km-Lauf Amsterdam","24/05/2024","100km","","Amstelveen","Netherlands",,,,,,
pallas-67-ultrameerdaagse-stage-5-arnhem-wageningen-2024,"Pallas 67 Ultrameerdaagse - stage 5 - Arnhem - Wageningen","12/05/2024","51km","","Arnhem","Netherlands",,,,,,
pallas-67-ultrameerdaagse-stage-4-arnhem-veluwe-2024,"Pallas 67 Ultrameerdaagse - stage 4 - Arnhem - Veluwe","11/05/2024","51km","","Arnhem","Netherlands",,,,,,
petranpad-ultra-trail-60k-2024,"Petranpad Ultra Trail 60k","04/05/2024","64km","","Meerlo","Netherlands",,,,,,
pallas-67-ultrameerdaagse-stage-3-arnhem-lobith-2024,"Pallas 67 Ultrameerdaagse - stage 3 - Arnhem - Lobith","10/05/2024","66km","","Arnhem","Netherlands",,,,,,
petranpad-ultra-run-112k-2024,"Petranpad Ultra Run 112k","04/05/2024","112km","","Meerlo","Netherlands",,,,,,
pallas-67-ultrameerdaagse-stage-1-wageningen-arnhem-2024,"Pallas 67 Ultrameerdaagse - stage 1 - Wageningen - Arnhem","08/05/2024","51km","","Wageningen","Netherlands",,,,,,
pallas-67-ultrameerdaagse-stage-2-arnhem-doesburg-2024,"Pallas 67 Ultrameerdaagse - stage 2 - Arnhem - Doesburg","09/05/2024","51km","","Arnhem","Netherlands",,,,,,
cauberg-trail-2024,"Cauberg Trail","30/03/2024","54km","","Valkenburg","Netherlands",,,,,,
runforestrun-hart-van-drenthe-2024,"Runforestrun Hart van Drenthe","13/04/2024","52km","","Ellertshaar","Netherlands",,,,,,
pegasus-ultra-trail-2024,"Pegasus Ultra Trail","20/04/2024","50km","","Ede","Netherlands",,,,,,
eemlake-run-eemmeerloop-2024,"Eemlake Run (Eemmeerloop)","20/04/2024","50km","","Bunschoten","Netherlands",,,,,,
6hrs-sittard-50km-split-2024,"6hrs Sittard - 50km Split","24/03/2024","50km","","Sittard","Netherlands",,,,,,
12hrs-sittard-50km-split-2024,"12hrs Sittard - 50km Split","23/03/2024","50km","","Sittard","Netherlands",,,,,,
6hrs-sittard-2024,"6hrs Sittard","24/03/2024","6h","","Sittard","Netherlands",,,,,,
de-120-van-texel-2024,"De 120 van Texel","24/03/2024","120km","","Den Burg (Texel)","Netherlands",,,,,,
24hrs-sittard-50km-split-2024,"24hrs Sittard - 50km Split","23/03/2024","50km","","Sittard","Netherlands",,,,,,
de-zestig-van-texel-2024,"De Zestig van Texel","24/03/2024","60km","","Den Hoorn (Texel)","Netherlands",,,,,,
65-van-walcheren-2024,"65 van Walcheren","03/03/2024","65km","","Vrouwenpolder","Netherlands",,,,,,
salomon-vuurtorentrail-festival-ameland-60km-2024,"Salomon Vuurtorentrail Festival Ameland 60km","17/03/2024","60km","","Hollum Ameland","Netherlands",,,,,,
trailrun-terschelling-2024,"Trailrun Terschelling","03/03/2024","50km","","West-Terschelling","Netherlands",,,,,,
sallandtrail-80-km-50-mijl-2024,"SallandTrail 80 km (50 Mijl)","09/03/2024","80km","","Nijverdal","Netherlands",,,,,,
sallandtrail-50-km-2024,"SallandTrail 50 km","09/03/2024","50km","","Nijverdal","Netherlands",,,,,,
bosbokken-trail-2024,"Bosbokken Trail","25/02/2024","47km","","Burgh-Haamstede","Netherlands",,,,,,
dutch-coast-ultra-run-by-night-75km-2024,"Dutch Coast Ultra Run by Night 75km","09/02/2024","75km","","Den Helder","Netherlands",,,,,,
dutch-coast-ultra-run-by-night-50km-2024,"Dutch Coast Ultra Run by Night 50km","09/02/2024","50km","","Den Helder","Netherlands",,,,,,
drielandenpunt-winter-trail-2024,"Drielandenpunt Winter Trail","04/02/2024","50km","","Vaals","Netherlands",,,,,,
leenderbos-ultra-trail-2024,"Leenderbos Ultra Trail","28/01/2024","50km","","Leende","Netherlands",,,,,,
pierewaai-trail-2024,"Pierewaai Trail","20/01/2024","45km","","IJmuiden","Netherlands",,,,,,
friends-of-the-sm-run-ultra-2025,"Friends of the SM run ultra","27/12/2025","45km","","Meerssen","Netherlands",,,,,,
voorne-s-duin-trail-2025,"Voorne's Duin Trail","07/12/2025","60km","","Oostvoorne","Netherlands",,,,,,
uhut-utrechtseheuvelultratrail-doorn-loop-2025,"UHUT UtrechtseHeuvelUltratrail - Doorn Loop","30/11/2025","50km","","Leersum","Netherlands",,,,,,
uhut-utrechtseheuvelultratrail-rhenen-loop-2025,"UHUT UtrechtseHeuvelUltratrail - Rhenen Loop","29/11/2025","50km","","Leersum","Netherlands",,,,,,
west-coast-challenge-halfway-2025,"West Coast Challenge - Halfway","13/12/2025","62km","","Wijk aan Zee","Netherlands",,,,,,
graef-castricum-trail-ultra-60km-2025,"Graef Castricum Trail Ultra 60km","23/11/2025","60km","","Castricum","Netherlands",,,,,,
gaasterland-trail-2025,"Gaasterland Trail","25/10/2025","50km","","Harich","Netherlands",,,,,,
indian-summer-ultra-100-km-2025,"Indian Summer Ultra 100 km","11/10/2025","100km","","Gasselte","Netherlands",,,,,,
indian-summer-ultra-50-km-2025,"Indian Summer Ultra 50 km","11/10/2025","50km","","Gasselte","Netherlands",,,,,,
dutch-backyard-ultra-2025,"Dutch Backyard Ultra","18/10/2025","36h","","Zeewolde","Netherlands",,,,,,
doelgericht-deur-stad-2025,"Doelgericht deur Stad","04/10/2025","50km","","Groningen","Netherlands",,,,,,
indian-summer-ultra-75-km-2025,"Indian Summer Ultra 75 km","11/10/2025","75km","","Gasselte","Netherlands",,,,,,
pegasus-ultra-trail-2025,"Pegasus Ultra Trail","04/10/2025","50km","","Ede","Netherlands",,,,,,
fun-runner-2025,"Fun Runner","04/10/2025","47.4km","","Berg en Dal","Netherlands",,,,,,
brekeld-runners-trail-2025,"Brekeld Runners Trail","04/10/2025","50km","","Rijssen","Netherlands",,,,,,
zevenheuvelentrail-2025,"Zevenheuvelentrail","27/09/2025","56km","","Heilig Landstichting","Netherlands",,,,,,
zevenheuvelentrail-nk-trailrunning-lange-trail-2025,"Zevenheuvelentrail - NK trailrunning lange trail","27/09/2025","56km","","Heilig Landstichting","Netherlands",,,,,,
devil-s-ultra-2025,"Devil's Ultra","04/10/2025","24h","","Doornse","Netherlands",,,,,,
sri-chinmoy-6-stunden-lauf-amsterdam-2025,"Sri Chinmoy 6-Stunden-Lauf Amsterdam","27/09/2025","6h","","Amstelveen","Netherlands",,,,,,
ommetjesultra-55km-2025,"Ommetjesultra 55km","07/09/2025","55km","","Wijchen","Netherlands",,,,,,
eddy-60-ultra-2025,"Eddy 60 Ultra","27/07/2025","60km","","Assen","Netherlands",,,,,,
groote-heide-ultra-2025,"Groote Heide Ultra","30/08/2025","50km","","Leende, Noord-Brabant","Netherlands",,,,,,
run-winschoten-50-km-2025,"RUN Winschoten 50 km","13/09/2025","50km","","Winschoten","Netherlands",,,,,,
run-winschoten-100-km-2025,"RUN Winschoten 100 km","13/09/2025","100km","","Winschoten","Netherlands",,,,,,
vut100-veluwse-ultra-trail-50km-zuid-2025,"VUT100 (Veluwse Ultra Trail) - 50km zuid","26/07/2025","50km","","Elspeet","Netherlands",,,,,,
vut100-veluwse-ultra-trail-100km-2025,"VUT100 (Veluwse Ultra Trail) - 100km","26/07/2025","100km","","Elspeet","Netherlands",,,,,,
vut100-veluwse-ultra-trail-75km-2025,"VUT100 (Veluwse Ultra Trail) - 75km","26/07/2025","75km","","Elspeet","Netherlands",,,,,,
vut100-veluwse-ultra-trail-50km-noord-2025,"VUT100 (Veluwse Ultra Trail) - 50km noord","26/07/2025","50km","","Elspeet","Netherlands",,,,,,
vechtdaltrail-2025,"VechtdalTrail","05/07/2025","50km","","Ommen","Netherlands",,,,,,
but100-brabants-ultratrail-50-km-zuid-2025,"BUT100 (Brabants UltraTrail) - 50 km Zuid","28/06/2025","50km","","Leende","Netherlands",,,,,,
but100-brabants-ultratrail-100-km-2025,"BUT100 (Brabants UltraTrail) - 100 km","28/06/2025","100km","","Leende","Netherlands",,,,,,
but100-brabants-ultratrail-50-km-noord-2025,"BUT100 (Brabants UltraTrail) - 50 km Noord","28/06/2025","50km","","Leende","Netherlands",,,,,,
but100-brabants-ultratrail-75-km-2025,"BUT100 (Brabants UltraTrail) - 75 km","28/06/2025","75km","","Leende","Netherlands",,,,,,
zes-uur-van-de-haarlemmermeer-2025,"Zes uur van de Haarlemmermeer","28/06/2025","6h","","Hoofddorp","Netherlands",,,,,,
marathon-van-kerkwerve-2025,"Marathon van Kerkwerve","14/06/2025","45.8km","","Kerkwerve","Netherlands",,,,,,
pierewaai-summer-beach-trail-2025,"Pierewaai Summer Beach Trail","21/06/2025","50km","","IJmuiden","Netherlands",,,,,,
12-uurs-run-middelburg-2025,"12-Uurs Run Middelburg","20/06/2025","13h","","Middelburg","Netherlands",,,,,,
liberation-trail-stage-5-eindhoven-nijmegen-2025,"Liberation Trail - stage 5: Eindhoven - Nijmegen","14/06/2025","81km","","Eindhoven","Netherlands",,,,,,
rondom-stad-2025,"Rondom Stad","21/06/2025","70km","","Sint Annen","Netherlands",,,,,,
dik-doen-in-de-toen-2025,"Dik doen in de Toen","09/06/2025","50km","","Groningen","Netherlands",,,,,,
vam12-2025,"VAM12","31/05/2025","12h","","Wijster","Netherlands",,,,,,
linie1629ultra-2025,"Linie1629ultra","07/06/2025","50km","","Vught","Netherlands",,,,,,
pallas-67-ultrameerdaagse-stage-5-2025,"Pallas 67 Ultrameerdaagse - stage 5","01/06/2025","52km","","Heerlen","Netherlands",,,,,,
pallas-67-ultrameerdaagse-stage-4-2025,"Pallas 67 Ultrameerdaagse - stage 4","31/05/2025","52.5km","","Heerlen","Netherlands",,,,,,
vam8-2025,"VAM8","31/05/2025","8h","","Wijster","Netherlands",,,,,,
uhut-utrechtseheuvelultratrail-75-km-spring-edition-2025,"UHUT UtrechtseHeuvelUltratrail 75 km - Spring Edition","24/05/2025","75km","","Leersum","Netherlands",,,,,,
pallas-67-ultrameerdaagse-stage-3-2025,"Pallas 67 Ultrameerdaagse - stage 3","30/05/2025","54.5km","","Heerlen","Netherlands",,,,,,
pallas-67-ultrameerdaagse-stage-1-2025,"Pallas 67 Ultrameerdaagse - stage 1","28/05/2025","58km","","Heerlen","Netherlands",,,,,,
pallas-67-ultrameerdaagse-stage-2-2025,"Pallas 67 Ultrameerdaagse - stage 2","29/05/2025","53.2km","","Heerlen","Netherlands",,,,,,
sri-chinmoy-100km-lauf-amsterdam-2025,"Sri Chinmoy 100km-Lauf Amsterdam","24/05/2025","100km","","Amstelveen","Netherlands",,,,,,
sri-chinmoy-50-km-lauf-amsterdam-2025,"Sri Chinmoy 50 km-Lauf Amsterdam","24/05/2025","50km","","Amstelveen","Netherlands",,,,,,
uhut-utrechtseheuvelultratrail-50km-2025,"UHUT UtrechtseHeuvelUltratrail 50km","24/05/2025","50km","","Leersum","Netherlands",,,,,,
uhut-utrechtseheuvelultratrail-100km-2025,"UHUT UtrechtseHeuvelUltratrail 100km","24/05/2025","100km","","Leersum","Netherlands",,,,,,
salomon-koning-van-spanje-trail-72km-2025,"Salomon Koning van Spanje Trail - 72km","17/05/2025","72km","","Gulpen","Netherlands",,,,,,
salomon-koning-van-spanje-trail-101km-2025,"Salomon Koning van Spanje Trail - 101km","17/05/2025","101km","","Gulpen","Netherlands",,,,,,
petranpad-ultra-run-112k-2025,"Petranpad Ultra Run 112k","02/05/2025","112km","","Meerlo","Netherlands",,,,,,
hollands-duin-ultra-2025,"Hollands Duin Ultra","26/04/2025","50km","","Noordwijk","Netherlands",,,,,,
6hrs-sittard-2025,"6hrs Sittard","04/05/2025","6h","","Sittard","Netherlands",,,,,,
6hrs-sittard-50km-split-2025,"6hrs Sittard - 50km Split","04/05/2025","50km","","Sittard","Netherlands",,,,,,
stadspark-ultra-2025,"Stadspark Ultra","11/04/2025","6h","","Groningen","Netherlands",,,,,,
dinah-might-100km-ultra-run-2025,"Dinah Might 100km Ultra Run","05/04/2025","100km","","Emmeloord","Netherlands",,,,,,
runforestrun-hart-van-drenthe-2025,"Runforestrun Hart van Drenthe","12/04/2025","52km","","Ellertshaar","Netherlands",,,,,,
dinah-might-50-miles-ultra-run-2025,"Dinah Might 50 Miles Ultra Run","05/04/2025","80km","","Emmeloord","Netherlands",,,,,,
eemlake-run-eemmeerloop-2025,"Eemlake Run (Eemmeerloop)","12/04/2025","50km","","Bunschoten","Netherlands",,,,,,
brabantse-vennen-ultra-2025,"Brabantse Vennen Ultra","29/03/2025","50km","","Heeze / Noord-Brabant","Netherlands",,,,,,
sallandtrail-60-km-2025,"SallandTrail 60 km","08/03/2025","60km","","Nijverdal","Netherlands",,,,,,
sallandtrail-80-km-50-mijl-2025,"SallandTrail 80 km (50 Mijl)","08/03/2025","80km","","Nijverdal","Netherlands",,,,,,
salomon-vuurtorentrail-festival-ameland-60km-2025,"Salomon Vuurtorentrail Festival Ameland 60km","16/03/2025","60km","","Hollum Ameland","Netherlands",,,,,,
sallandtrail-50-km-2025,"SallandTrail 50 km","08/03/2025","50km","","Nijverdal","Netherlands",,,,,,
woldjerspoorzoeker-2025,"WoldjerspoorZoeker","23/02/2025","50km","","Delfzijl","Netherlands",,,,,,
65-van-walcheren-2025,"65 van Walcheren","02/03/2025","65km","","Vrouwenpolder","Netherlands",,,,,,
bosbokken-trail-2025,"Bosbokken Trail","23/02/2025","47km","","Burgh-Haamstede","Netherlands",,,,,,
amerongse-berg-ultra-50k-2025,"Amerongse Berg Ultra 50k","23/02/2025","50km","","Overberg","Netherlands",,,,,,
dutch-coast-ultra-run-by-night-50km-2025,"Dutch Coast Ultra Run by Night 50km","07/02/2025","50km","","Den Helder","Netherlands",,,,,,
dutch-coast-ultra-run-by-night-75km-2025,"Dutch Coast Ultra Run by Night 75km","07/02/2025","75km","","Den Helder","Netherlands",,,,,,
west-coast-challenge-halfway-2025,"West Coast Challenge - Halfway","18/01/2025","62km","","Hoek van Holland","Netherlands",,,,,,
leenderbos-ultra-trail-2025,"Leenderbos Ultra Trail","26/01/2025","50km","","Leende","Netherlands",,,,,,
pierewaai-trail-winter-ed-50km-2025,"Pierewaai Trail Winter Ed. 50km","25/01/2025","50km","","Hoek van Holland","Netherlands",,,,,,
drielandenpunt-winter-trail-2025,"Drielandenpunt Winter Trail","02/02/2025","50km","","Vaals","Netherlands",,,,,,
cauberg-trail-winter-edition-2025,"Cauberg Trail - winter edition","04/01/2025","54km","","Valkenburg","Netherlands",,,,,,
uhut100-winter-doorn-2026,"UHUT100 Winter - Doorn","29/11/2026","50km","","Leersum","Netherlands",,,,,,
gaasterland-trail-2026,"Gaasterland Trail","24/10/2026","50km","","Harich","Netherlands",,,,,,
lage-vuursche-ultra-2026,"Lage Vuursche Ultra","31/10/2026","50km","","Baarn","Netherlands",,,,,,
hollands-duin-ultra-2026,"Hollands Duin Ultra","19/12/2026","50km","","Noordwijk","Netherlands",,,,,,
uhut100-winter-rhenen-2026,"UHUT100 Winter - Rhenen","28/11/2026","50km","","Leersum","Netherlands",,,,,,
indian-summer-ultra-50-km-2026,"Indian Summer Ultra 50 km","10/10/2026","50km","","Gasselte","Netherlands",,,,,,
dutch-backyard-ultra-zeewolde-2026,"Dutch Backyard Ultra Zeewolde","17/10/2026","36h","","Zeewolde","Netherlands",,,,,,
indian-summer-ultra-75-km-2026,"Indian Summer Ultra 75 km","10/10/2026","75km","","Gasselte","Netherlands",,,,,,
gelderse-poort-ultra-2026,"Gelderse Poort Ultra","26/09/2026","50km","","Berg en Dal","Netherlands",,,,,,
indian-summer-ultra-100-km-2026,"Indian Summer Ultra 100 km","10/10/2026","100km","","Gasselte","Netherlands",,,,,,
austerlitz-ultra-2026,"Austerlitz Ultra","30/08/2026","50km","","Zeist","Netherlands",,,,,,
vut100-veluwse-ultra-trail-50km-noord-2026,"VUT100 (Veluwse Ultra Trail) - 50km noord","25/07/2026","50km","","Elspeet","Netherlands",,,,,,
run-winschoten-50-km-2026,"RUN Winschoten 50 km","12/09/2026","50km","","Winschoten","Netherlands",,,,,,
vut100-veluwse-ultra-trail-75km-2026,"VUT100 (Veluwse Ultra Trail) - 75km","25/07/2026","75km","","Elspeet","Netherlands",,,,,,
run-winschoten-100-km-2026,"RUN Winschoten 100 km","12/09/2026","100km","","Winschoten","Netherlands",,,,,,
vut100-veluwse-ultra-trail-100km-2026,"VUT100 (Veluwse Ultra Trail) - 100km","25/07/2026","100km","","Elspeet","Netherlands",,,,,,
but100-brabants-ultratrail-75-km-2026,"BUT100 (Brabants UltraTrail) - 75 km","27/06/2026","75km","","Leende","Netherlands",,,,,,
westerwolde-ultra-2026,"Westerwolde Ultra","28/06/2026","100km","","Wedde","Netherlands",,,,,,
but100-brabants-ultratrail-50-km-noord-2026,"BUT100 (Brabants UltraTrail) - 50 km Noord","27/06/2026","50km","","Leende","Netherlands",,,,,,
but100-brabants-ultratrail-50-km-zuid-2026,"BUT100 (Brabants UltraTrail) - 50 km Zuid","28/06/2026","50km","","Leende","Netherlands",,,,,,
but100-brabants-ultratrail-100-km-2026,"BUT100 (Brabants UltraTrail) - 100 km","27/06/2026","100km","","Leende","Netherlands",,,,,,
vechtdal-trail-2026,"Vechtdal Trail","20/06/2026","60km","","Ommen","Netherlands",,,,,,
zes-uur-van-de-haarlemmermeer-2026,"Zes uur van de Haarlemmermeer","27/06/2026","6h","","Hoofddorp","Netherlands",,,,,,
rondom-stad-2026,"Rondom Stad","13/06/2026","64km","","Sint Annen","Netherlands",,,,,,
pierewaai-summer-beach-trail-2026,"Pierewaai Summer Beach Trail","20/06/2026","60km","","IJmuiden","Netherlands",,,,,,
uhut-utrechtseheuvelultratrail-100km-2026,"UHUT UtrechtseHeuvelUltratrail 100km","30/05/2026","100km","","Leersum","Netherlands",,,,,,
vam8-2026,"VAM8","30/05/2026","8h","","Wijster","Netherlands",,,,,,
linie1629ultra-2026,"Linie1629ultra","06/06/2026","50km","","Vught","Netherlands",,,,,,
uhut-utrechtseheuvelultratrail-doorn-loop-2026,"UHUT UtrechtseHeuvelUltratrail - Doorn Loop","31/05/2026","50km","","Leersum","Netherlands",,,,,,
sri-chinmoy-50-km-lauf-amsterdam-2026,"Sri Chinmoy 50 km-Lauf Amsterdam","30/05/2026","50km","","Amstelveen","Netherlands",,,,,,
vam12-2026,"VAM12","30/05/2026","12h","","Wijster","Netherlands",,,,,,
uhut-utrechtseheuvelultratrail-75-km-2026,"UHUT UtrechtseHeuvelUltratrail 75 km","30/05/2026","75km","","Leersum","Netherlands",,,,,,
sri-chinmoy-100km-lauf-amsterdam-2026,"Sri Chinmoy 100km-Lauf Amsterdam","30/05/2026","100km","","Amstelveen","Netherlands",,,,,,
uhut-utrechtseheuvelultratrail-rhenen-loop-2026,"UHUT UtrechtseHeuvelUltratrail - Rhenen Loop","30/05/2026","50km","","Leersum","Netherlands",,,,,,
schipholloop-ronde-om-de-haarlemmermeer-2026,"Schipholloop (Ronde om de Haarlemmermeer)","23/05/2026","60km","","Amsterdam Airport Schiphol","Netherlands",,,,,,
6-uursloop-terwille-2026,"6-uursloop Terwille","16/05/2026","6h","","Tynaarlo","Netherlands",,,,,,
6hrs-sittard-2026,"6hrs Sittard","10/05/2026","6h","","Sittard","Netherlands",,,,,,
12-uursloop-terwille-2026,"12-uursloop Terwille","16/05/2026","12h","","Tynaarlo","Netherlands",,,,,,
leenderbos-ultra-trail-2026,"Leenderbos Ultra Trail","19/04/2026","50km","","Leende","Netherlands",,,,,,
runforestrun-hart-van-drenthe-2026,"Runforestrun Hart van Drenthe","18/04/2026","50km","","Ellertshaar","Netherlands",,,,,,
de-120-van-texel-2026,"De 120 van Texel","29/03/2026","120km","","Den Burg (Texel)","Netherlands",,,,,,
amerongse-berg-ultra-50k-2026,"Amerongse Berg Ultra 50k","28/03/2026","50km","","Overberg","Netherlands",,,,,,
dutch-backyard-ultra-2026,"Dutch Backyard Ultra","20/03/2026","50h","","Leersum","Netherlands",,,,,,
salomon-vuurtorentrail-festival-ameland-60km-2026,"Salomon Vuurtorentrail Festival Ameland 60km","15/03/2026","60km","","Hollum Ameland","Netherlands",,,,,,
de-zestig-van-texel-2026,"De Zestig van Texel","29/03/2026","60km","","Den Hoorn (Texel)","Netherlands",,,,,,
sallandtrail-100-km-2026,"SallandTrail 100 km","07/03/2026","100km","","Nijverdal","Netherlands",,,,,,
gerrit-krolmarathon-2026,"Gerrit Krolmarathon","06/03/2026","46km","","Groningen","Netherlands",,,,,,
sallandtrail-80-km-50-mijl-2026,"SallandTrail 80 km (50 Mijl)","07/03/2026","80km","","Nijverdal","Netherlands",,,,,,
sallandtrail-60-km-2026,"SallandTrail 60 km","07/03/2026","60km","","Nijverdal","Netherlands",,,,,,
sallandtrail-50-km-2026,"SallandTrail 50 km","07/03/2026","50km","","Nijverdal","Netherlands",,,,,,
times-mmmm-2026,"times MMMM","22/02/2026","70km","","Roden","Netherlands",,,,,,
maasduinen-ultra-2026,"Maasduinen Ultra","28/02/2026","50km","","Arcen","Netherlands",,,,,,
pierewaai-winter-trail-50km-2026,"Pierewaai Winter Trail 50km","24/01/2026","50km","","IJmuiden","Netherlands",,,,,,
drielandenpunt-winter-trail-2026,"Drielandenpunt Winter Trail","31/01/2026","50km","","Vaals","Netherlands",,,,,,
leersumse-veld-ultra-2026,"Leersumse Veld Ultra","31/01/2026","50km","","Leersum","Netherlands",,,,,,
pierewaai-winter-trail-70km-nightrun-2026,"Pierewaai Winter Trail 70km (nightrun)","23/01/2026","70km","","Hoek van Holland","Netherlands",,,,,,
roegwoldrun-2026,"RoegwoldRun","04/01/2026","50km","","Overschild","Netherlands",,,,,,
pierewaai-winter-trail-100k-nightrun-2026,"Pierewaai Winter Trail 100k (nightrun)","23/01/2026","100km","","Hoek van Holland","Netherlands",,,,,,
moselsteig-lauf-1-etappe-2024,"Moselsteig-Lauf 1. Etappe","28/09/2024","54.9km","","Schengen","Luxembourg",,,,,,
the-great-escape-100-miles-2024,"The Great Escape 100 miles","14/09/2024","100mi","","Ettelbruck","Luxembourg",,,,,,
leopard-ultratrail-du-mullerthal-utml-long-trail-75km-2024,"Leopard Ultratrail du Mullerthal (UTML) - Long Trail 75km","14/09/2024","75km","","Waldbillig","Luxembourg",,,,,,
the-great-escape-50-miles-2024,"The Great Escape 50 miles","15/09/2024","50mi","","Clervaux","Luxembourg",,,,,,
trail-uewersauer-2024,"Trail Uewersauer","17/11/2024","57km","","Heiderscheid","Luxembourg",,,,,,
leopard-ultratrail-du-mullerthal-utml-ultratrail-111km-2024,"Leopard Ultratrail du Mullerthal (UTML) - Ultratrail 111km","14/09/2024","111km","","Waldbillig","Luxembourg",,,,,,
leopard-ultratrail-du-mullerthal-utml-ultratrail-111km-2025,"Leopard Ultratrail du Mullerthal (UTML) - Ultratrail 111km","13/09/2025","111km","","Waldbillig","Luxembourg",,,,,,
leopard-ultratrail-du-mullerthal-utml-long-trail-75km-2025,"Leopard Ultratrail du Mullerthal (UTML) - Long Trail 75km","13/09/2025","75km","","Waldbillig","Luxembourg",,,,,,
trail-uewersauer-2025,"Trail Uewersauer","16/11/2025","57km","","Heiderscheid","Luxembourg",,,,,,
transeuropalauf-2025-30-etappe-dalaas-pians-2025,"Transeuropalauf 2025 30. Etappe Dalaas - Pians","01/09/2025","48km","","Simmern","Luxembourg",,,,,,
transeuropalauf-2025-20-etappe-simmern-thionville-diedenhofen-2025,"Transeuropalauf 2025 20. Etappe Simmern - Thionville-Diedenhofen","22/08/2025","53km","","Simmern","Luxembourg",,,,,,
trailweekend-koning-van-spanje-trail-ultimate-3-dagen-101-km-2026,"trailweekend: Koning van Spanje Trail Ultimate 3 dagen 101 km","2026-05-08","101 km","","","Netherlands",,,,,,
trail-koning-van-spanje-trail-43-60-en-85-km-2026,"trail: Koning van Spanje Trail 43, 60 en 85 km","2026-05-09","85 km","","","Netherlands",,,,,,
trail-trail-de-chimay-50-km-2026,"trail: Trail de Chimay 50 km","2026-05-09","50 km","","","Netherlands",,,,,,
trail-trail-du-jambon-50-km-2026,"trail: Trail du Jambon 50 km","2026-05-09","50 km","","","Netherlands",,,,,,
maasduinen-ultra-2027,"Maasduinen Ultra","27/02/2027","50","","","Netherlands",,,,,,
uhut100-winter-2026,"UHUT100 Winter","28/11/2026","50-50-100","","","Netherlands",,,,,,
uhut100-winter-2026,"UHUT100 Winter","29/11/2026","50-50-100","","","Netherlands",,,,,,
uhut100-winter-2027,"UHUT100 Winter","27/11/2027","50-50-100","","","Netherlands",,,,,,
uhut100-winter-2027,"UHUT100 Winter","28/11/2027","50-50-100","","","Netherlands",,,,,,
leenderbos-ultra-2027,"Leenderbos Ultra","18/12/2027","50","","","Netherlands",,,,,,
leersumse-veld-ultra-2027,"Leersumse Veld Ultra","30/01/2027","50","","","Netherlands",,,,,,
veluwse-ultra-trail-vut100-2026,"Veluwse Ultra Trail (VUT100)","25/07/2026","50-75-100","","","Netherlands",,,,,,
utrechtse-heuvelrug-ultra-trail-uhut100-2026,"Utrechtse Heuvelrug Ultra Trail (UHUT100)","30/05/2026","50-50-75-100","","","Netherlands",,,,,,
utrechtse-heuvelrug-ultra-trail-uhut100-2026,"Utrechtse Heuvelrug Ultra Trail (UHUT100)","31/05/2026","50-50-75-100","","","Netherlands",,,,,,
utrechtse-heuvelrug-ultra-trail-uhut100-2027,"Utrechtse Heuvelrug Ultra Trail (UHUT100)","29/05/2027","50-50-75-100","","","Netherlands",,,,,,
utrechtse-heuvelrug-ultra-trail-uhut100-2027,"Utrechtse Heuvelrug Ultra Trail (UHUT100)","30/05/2027","50-50-75-100","","","Netherlands",,,,,,
brabantse-ultra-trail-but100-2026,"Brabantse Ultra Trail (BUT100)","27/06/2026","50-50-75-100","","","Netherlands",,,,,,
brabantse-ultra-trail-but100-2026,"Brabantse Ultra Trail (BUT100)","28/06/2026","50-50-75-100","","","Netherlands",,,,,,
brabantse-ultra-trail-but100-2027,"Brabantse Ultra Trail (BUT100)","26/06/2027","50-50-75-100","","","Netherlands",,,,,,
brabantse-ultra-trail-but100-2027,"Brabantse Ultra Trail (BUT100)","27/06/2027","50-50-75-100","","","Netherlands",,,,,,